player,course,previous total rounds,course experience,Player_initial_last,tournament id,player id,hole_par,strokes,n_rounds,made_cut,pos,tournament name,date,purse,season,no_cut,Finish,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total
Bill Haas,"Grand Reserve Country Club - Rio Grande, Puerto Rico",8,Knowledgeable,B. Haas,401353253,774,288,283,4,1,41.0,Puerto Rico Open,2022-03-06,3.7,2022,0,41.0,0.0,0.0,0.0,0.0,0.0,0.0
Bill Haas,"Harbour Town Golf Links - Hilton Head Island, SC",21,Experienced,B. Haas,401353231,774,284,284,4,1,59.0,RBC Heritage,2022-04-17,8.0,2022,0,T59,0.28,-0.44,-0.41,0.02,-0.83,-0.55
Bill Haas,"Innisbrook - Palm Harbor, FL",16,Experienced,B. Haas,401353255,774,284,280,4,1,48.0,Valspar Championship,2022-03-20,7.8,2022,0,T48,0.07,0.19,0.39,-0.41,0.17,0.24
Bill Haas,"La Quinta CC - La Quinta, CA",19,Experienced,B. Haas,401353233,774,216,212,3,1,0.0,The American Express,2022-01-23,7.6,2022,0,CUT,-0.66,0.47,0.07,-0.6,-0.05,-1.22
Bill Haas,"PGA National - Palm Beach Gardens, FL",4,Novice,B. Haas,401353238,774,280,281,4,1,25.0,The Honda Classic,2022-02-27,8.0,2022,0,T25,0.48,0.5,-0.18,0.24,0.56,1.05
Bill Haas,"Pebble Beach Resort - Pebble Beach, CA",9,Knowledgeable,B. Haas,401353235,774,143,143,2,0,0.0,AT&T Pebble Beach Pro-Am,2022-02-06,8.7,2022,0,MDF,2.17,0.64,-0.68,-0.04,-0.08,0.17
Bill Haas,"Sea Island Resort - Sea Island, GA",20,Experienced,B. Haas,401353202,774,282,277,4,1,47.0,The RSM Classic,2021-11-21,7.2,2022,0,T47,-0.14,0.04,-0.04,-0.64,-0.64,0.34
Bill Haas,"Silverado Resort - Napa, CA",14,Knowledgeable,B. Haas,401353193,774,144,143,2,0,0.0,Fortinet Championship,2021-09-20,7.0,2022,0,CUT,-1.7,2.08,0.42,-1.08,1.42,-0.28
Bill Haas,"TPC Craig Ranch - McKinney, TX",2,Novice,B. Haas,401353227,774,288,277,4,1,65.0,AT&T Byron Nelson,2022-05-15,9.1,2022,0,T65,0.91,0.55,-0.68,-0.99,-1.12,-0.22
Bill Haas,"TPC Potomac at Avenel Farm - Potomac, MD",8,Knowledgeable,B. Haas,401353228,774,140,149,2,0,0.0,Wells Fargo Championship,2022-05-08,9.0,2022,0,CUT,-0.47,0.19,-3.06,-0.09,-2.95,-3.42
Bill Haas,"TPC San Antonio - San Antonio, TX",2,Novice,B. Haas,401353273,774,288,289,4,1,63.0,Valero Texas Open,2022-04-03,8.6,2022,0,T63,0.51,-0.37,-0.12,-0.61,-1.09,-0.58
Bill Haas,"TPC Scottsdale - Scottsdale, AZ",10,Knowledgeable,B. Haas,401353236,774,142,144,2,0,0.0,Waste Management Phoenix Open,2022-02-13,8.2,2022,0,CUT,-0.9,0.6,-0.68,-0.6,-0.68,-1.58
Bill Haas,"TPC Summerlin - Las Vegas, NV",2,Novice,B. Haas,401353195,774,284,286,4,1,72.0,Shriners Hospital for Children Open,2021-10-10,7.0,2022,0,72,-0.23,-0.65,-1.51,-0.1,-2.27,-2.5
Bill Haas,"Torrey Pines North - La Jolla, CA",22,Experienced,B. Haas,401353234,774,285,282,4,1,39.0,Farmers Insurance Open,2022-01-29,8.4,2022,0,T39,0.88,0.14,-0.52,0.05,-0.33,0.94
Bill Haas,"Waialae CC - Honolulu, HI",8,Knowledgeable,B. Haas,401353204,774,140,136,2,0,0.0,Sony Open in Hawaii,2022-01-16,7.5,2022,0,CUT,-0.78,0.59,0.21,0.11,0.91,0.13
Billy Horschel,"Augusta National Golf Club - Augusta, GA",20,Experienced,B. Horschel,401353232,1651,288,296,4,1,43.0,Masters Tournament,2022-04-10,15.0,2022,0,43,0.06,-0.57,0.83,-0.46,-0.2,-0.14
